iter	Passed	Remaining
0	41	414730
1	82	413246
2	124	415668
3	165	413545
4	206	412204
5	248	413455
6	287	411117
7	326	407912
8	365	406291
9	405	404905
10	445	404287
11	483	402814
12	523	402041
13	563	401684
14	603	401454
15	642	400649
16	681	400013
17	721	400105
18	760	399442
19	799	399161
20	838	398575
21	878	398429
22	917	397821
23	956	397435
24	996	397645
25	1035	397072
26	1075	397263
27	1115	397106
28	1155	397127
29	1193	396536
30	1232	396377
31	1272	396515
32	1311	396142
33	1351	396083
34	1391	396111
35	1429	395574
36	1468	395425
37	1507	395271
38	1546	394903
39	1584	394605
40	1624	394620
41	1662	394197
42	1701	394103
43	1743	394515
44	1784	394697
45	1820	393896
46	1859	393707
47	1898	393662
48	1938	393581
49	1977	393438
50	2017	393500
51	2055	393163
52	2094	393183
53	2132	392838
54	2171	392674
55	2210	392539
56	2248	392197
57	2286	391875
58	2324	391736
59	2363	391494
60	2401	391343
61	2440	391163
62	2480	391318
63	2520	391292
64	2560	391376
65	2600	391415
66	2641	391586
67	2680	391534
68	2721	391675
69	2761	391687
70	2801	391720
71	2839	391549
72	2879	391528
73	2918	391522
74	2958	391492
75	2999	391621
76	3035	391227
77	3076	391303
78	3117	391465
79	3156	391445
80	3195	391330
81	3234	391240
82	3273	391137
83	3312	390984
84	3353	391191
85	3392	391132
86	3431	390976
87	3471	390989
88	3511	391060
89	3551	391009
90	3587	390637
91	3627	390710
92	3667	390706
93	3706	390639
94	3743	390310
95	3782	390246
96	3819	389912
97	3858	389892
98	3897	389765
99	3937	389764
100	3978	389924
101	4017	389816
102	4055	389661
103	4094	389581
104	4134	389618
105	4173	389563
106	4213	389607
107	4253	389602
108	4291	389457
109	4331	389446
110	4370	389396
111	4409	389334
112	4449	389326
113	4488	389211
114	4526	389097
115	4566	389078
116	4605	389051
117	4644	388992
118	4684	388979
119	4724	389003
120	4763	388918
121	4802	388873
122	4842	388854
123	4881	388785
124	4920	388754
125	4960	388730
126	4999	388648
127	5037	388498
128	5075	388375
129	5113	388244
130	5152	388156
131	5189	387984
132	5231	388097
133	5269	388003
134	5308	387911
135	5345	387696
136	5384	387626
137	5422	387535
138	5463	387599
139	5503	387600
140	5542	387560
141	5579	387333
142	5616	387138
143	5655	387084
144	5691	386828
145	5730	386748
146	5766	386514
147	5804	386370
148	5843	386345
149	5882	386290
150	5920	386197
151	5959	386114
152	5998	386057
153	6035	385870
154	6076	385952
155	6118	386070
156	6157	386055
157	6197	386037
158	6236	385983
159	6270	385651
160	6311	385686
161	6351	385703
162	6387	385496
163	6424	385311
164	6459	385039
165	6500	385086
166	6536	384898
167	6576	384903
168	6616	384877
169	6655	384844
170	6693	384737
171	6731	384629
172	6770	384566
173	6806	384365
174	6846	384364
175	6884	384285
176	6923	384241
177	6959	384043
178	6998	383986
179	7036	383865
180	7076	383893
181	7116	383920
182	7154	383811
183	7194	383809
